sub_topics,topics
"celebrity and gossips [bollywood, hollywood]",art and entertainment
dance,art and entertainment
humor,art and entertainment
"films and tv and series [bollywood, hollywood]",art and entertainment
music,art and entertainment
architecture,art and entertainment
digital art and graphics design and vfx and software,art and entertainment
art and craft,art and entertainment
cars and bike and electric vehicles,vehicles
ads and marketing,business and industry
war industry and technology and unrest,business and industry
space technology and astronomy,business and industry
agriculture,business and industry
startups,business and industry
business operations and reports,business and industry
non-renewable energy and oil,business and industry
renewable energy,business and industry
event planning,business and industry
study and institute,education and career
career and job,education and career
investing and personal finance,finance
financilal news and economy,finance
food and cooking,food
healthy eating,food
disease and disorders,health and fitness
exercise and mental health,health and fitness
health,health and fitness
photography and cinematography,hobbies and interests
astrology,hobbies and interests
video games and games,hobbies and interests
pets,hobbies and interests
msical instrument and software,hobbies and interests
home and interior design,hobbies and interests
armed forces and defence,law govt and politics and nation
secret service and surveillance,law govt and politics and nation
terrorism,law govt and politics and nation
judiciary and courts,law govt and politics and nation
parliament and government,law govt and politics and nation
embassies and consultes,law govt and politics and nation
law and privacy and penalty,law govt and politics and nation
legislation and tax,law govt and politics and nation
policy,law govt and politics and nation
elections and parties,law govt and politics and nation
atheism and agnosticism and alternative religions,religion and spirituality
religion,religion and spirituality
biotechnology and nanotechnology,science
botany and cytology and marine biology and zoology and molecular biology,science
chemistry,science
enviroment and disaster and pollution and waste,science
nature and weather and environment,science
geography and geology,science
medicine,science
mathematics,science
physics,science
history and philosophy,social science
stores and products and coupons,retail
crime and cyber crime,society
"people and racism [men, women]",society
life and lifestyle and culture and festival,society
"relationship (love, marraige, divorce)",society
sex,society
welfare,society
world,society
work ,society
sports and events,sports
mens fashion,fashion
womens fashion,fashion
celebirity fashion and contest,fashion
consumer electronics,technology and computing
android,technology and computing
iphone,technology and computing
gaming system,technology and computing
latpop and desktop and servers and peripherals,technology and computing
ecommerce and social network and internet,technology and computing
linux,technology and computing
windows and mac os and os,technology and computing
artificial intelligence,technology and computing
cryptography and blockchain,technology and computing
backend and framework and game and software and apps and database,technology and computing
frontend and ui,technology and computing
embedded hardware,technology and computing
innovation and invention,technology and computing
travel and adventure,travel
facts,miscellaneous
weird and mystery and anomaly and paranormal and magic and illusion,miscellaneous
miscellaneous,miscellaneous
